# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       21.111503      0.12627920       60.194877
3.000       21.614157      0.12222514       62.523856
3.000       22.116812      0.12138606       66.528337
3.000       22.619467      0.11466130       67.225528
3.000       23.122122      0.11138517       69.755856
3.000       23.624777      0.10878669       72.668995
3.000       24.127432      0.10657651       75.834187
3.000       24.630086      0.10305941       78.010978
3.000       25.132741     0.099299374       79.861295
3.000       25.635396     0.097862274       83.522917
3.000       26.138051     0.095299150       86.214216
3.000       26.640706     0.091825295       87.956870
3.000       27.143361     0.087511301       88.659493
3.000       27.646015     0.086091198       92.156642
3.000       28.148670     0.082897541       93.666772
3.000       28.651325     0.083350776       99.314815
3.000       29.153980     0.080786732       101.41539
3.000       29.656635     0.078268346       103.42416
3.000       30.159289     0.076236706       105.94920
3.000       30.661944     0.073154151       106.83371
3.000       31.164599     0.072383603       110.99287
3.000       31.667254     0.070884177       114.03831
3.000       32.169909     0.068434738       115.42406
3.000       33.175218     0.061687951       114.10692
3.000       34.180528     0.062523353       126.48785
3.000       35.185838     0.059609726       131.55007
3.000       36.191147     0.056985490       136.84899
3.000       37.196457     0.054774277       142.80770
3.000       38.201767     0.052924215       149.47722
3.000       39.207076     0.051909744       158.49389
3.000       40.212386     0.048447013       159.59409
3.000       41.217696     0.046798820       166.01842
3.000       42.223005     0.046081687       175.73006
3.000       43.228315     0.043907826       179.68719
3.000       44.233625     0.041404072       181.53940
3.000       45.238934     0.040879916       191.74204
3.000       46.244244     0.041630873       208.57336
3.000       47.249554     0.039447728       210.80717
3.000       48.254863     0.038201346       217.45640
3.000       49.260173     0.034706441       210.16874
3.000       50.265482     0.035075313       225.67392
3.000       51.270792     0.033185965       226.58690
3.000       52.276102     0.033668942       243.67407
3.000       53.281411     0.032882892       251.98079
3.000       54.286721     0.031470211       255.06493
3.000       55.292031     0.031556056       270.23437
3.000       56.297340     0.030584917       276.46566
3.000       57.302650     0.029562232       281.79391
3.000       58.307960     0.028891069       290.14655
3.000       59.313269     0.028065836       296.69063
3.000       60.318579     0.026980158       299.96326
3.000       61.323889     0.027747378       324.17631
3.000       62.329198     0.026719393       327.77171
3.000       63.334508     0.025808565       332.16610
3.000       64.339818     0.025427274       343.09117
3.000       66.350437     0.025246740       373.60004
3.000       68.361056     0.023761515       384.56581
3.000       70.371675     0.021418859       378.14666
3.000       72.382295     0.021959583       421.88239
3.000       74.392914     0.021500837       448.45651
3.000       76.403533     0.019963400       451.07120
3.000       78.414153     0.020113284       491.28852
3.000       80.424772     0.020169110       531.52843
3.000       82.435391     0.019552510       554.89893
3.000       84.446011     0.019518035       595.44789
3.000       86.456630     0.018432903       603.47448
3.000       88.467249     0.018571299       651.41853
3.000       90.477868     0.018750677       703.58131
3.000       92.488488     0.016836103       674.79969
3.000       94.499107     0.017477709       747.20175
3.000       96.509726     0.016587979       755.40002
3.000       98.520346     0.016722902       810.13925
3.000       100.53096     0.015861040       816.39712
3.000       102.54158     0.015171926       828.72617
3.000       104.55220     0.016055499       929.59470
3.000       106.56282     0.015851212       971.73954
3.000       108.57344     0.014444294       936.56385
3.000       110.58406     0.014542395       996.28547
3.000       112.59468     0.014094492       1019.2326
3.000       114.60530     0.014389605       1097.3199
3.000       116.61592     0.014425474       1158.9745
3.000       118.62654     0.013942154       1179.0866
3.000       120.63716     0.013405812       1192.3581
3.000       122.64778     0.013847996       1294.3038
3.000       124.65840     0.013381571       1313.2336
3.000       126.66902     0.013386563       1378.3215
3.000       128.67964     0.013127096       1416.9952
3.000       132.70087     0.011456989       1356.3198
3.000       136.72211     0.011619108       1504.3861
