# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       27.646015     0.085294317       91.303618
3.000       28.148670     0.083797140       94.683239
3.000       28.651325     0.081917804       97.607388
3.000       29.153980     0.079671911       100.01590
3.000       29.656635     0.077787173       102.78834
3.000       30.159289     0.075922944       105.51316
3.000       30.661944     0.073515401       107.36128
3.000       31.164599     0.071059991       108.96325
3.000       31.667254     0.068911474       110.86463
3.000       32.169909     0.067819225       114.38592
3.000       33.175218     0.063339489       117.16184
3.000       34.180528     0.063875907       129.22414
3.000       35.185838     0.062882118       138.77176
3.000       36.191147     0.057893321       139.02912
3.000       37.196457     0.053730484       140.08632
3.000       38.201767     0.053203378       150.26568
3.000       39.207076     0.050607420       154.51756
3.000       40.212386     0.048793911       160.73684
3.000       41.217696     0.046877894       166.29894
3.000       42.223005     0.045748140       174.45809
3.000       43.228315     0.043694006       178.81216
3.000       44.233625     0.042048209       184.36367
3.000       45.238934     0.041652172       195.36421
3.000       46.244244     0.039987384       200.33937
3.000       47.249554     0.037965254       202.88489
3.000       48.254863     0.037040795       210.85010
3.000       49.260173     0.037358772       226.23023
3.000       50.265482     0.034980015       225.06078
3.000       51.270792     0.032981508       225.19090
3.000       52.276102     0.033771460       244.41603
3.000       53.281411     0.032778979       251.18450
3.000       54.286721     0.031862654       258.24567
3.000       55.292031     0.029862867       255.73454
3.000       56.297340     0.029713870       268.59203
3.000       57.302650     0.028927520       275.74369
3.000       58.307960     0.029270148       293.95355
3.000       59.313269     0.028760875       304.03806
3.000       60.318579     0.028159121       313.07087
3.000       61.323889     0.026479274       309.36087
3.000       62.329198     0.026115145       320.35929
3.000       63.334508     0.025810364       332.18926
3.000       64.339818     0.025469311       343.65837
3.000       66.350437     0.023660186       350.12230
3.000       68.361056     0.023705709       383.66262
3.000       70.371675     0.022091487       390.02180
3.000       72.382295     0.021152697       406.38067
3.000       74.392914     0.021481487       448.05292
3.000       76.403533     0.020257940       457.72629
3.000       78.414153     0.019957540       487.48428
3.000       80.424772     0.020213657       532.70241
3.000       82.435391     0.018895211       536.24483
3.000       84.446011     0.018954975       578.27030
3.000       86.456630     0.019240178       629.90384
3.000       88.467249     0.018674845       655.05059
3.000       90.477868     0.017569645       659.26545
3.000       92.488488     0.017562669       703.92082
3.000       94.499107     0.016610996       710.14829
3.000       96.509726     0.016509104       751.80811
3.000       98.520346     0.015449527       748.45073
3.000       100.53096     0.016389373       843.59143
3.000       102.54158     0.015810375       863.59971
3.000       104.55220     0.015224332       881.47110
3.000       106.56282     0.015904061       974.97938
3.000       108.57344     0.015700171       1017.9946
3.000       110.58406     0.015412563       1055.8999
3.000       112.59468     0.014392515       1040.7839
3.000       114.60530     0.014845770       1132.1060
3.000       116.61592     0.014075134       1130.8274
3.000       118.62654     0.013667073       1155.8231
3.000       120.63716     0.013650273       1214.1012
3.000       122.64778     0.013908784       1299.9854
3.000       124.65840     0.013355845       1310.7089
3.000       126.66902     0.012803533       1318.2909
3.000       128.67964     0.012977450       1400.8417
3.000       132.70087     0.012890882       1526.0692
3.000       136.72211     0.013401597       1735.1742
3.000       140.74335     0.012490346       1764.1211
3.000       144.76459     0.012025642       1848.2707
3.000       148.78583     0.011218398       1871.9137
3.000       152.80707     0.011179105       2020.7269
3.000       156.82831     0.010947544       2139.2440
3.000       160.84954     0.010506670       2215.1077
3.000       164.87078     0.010209332       2317.9214
3.000       168.89202     0.010587563       2584.0068
3.000       172.91326     0.010397959       2723.3486
3.000       176.93450    0.0099295325       2786.3561
3.000       180.95574    0.0094011191       2822.0641
3.000       184.97698    0.0092045144       2951.3734
3.000       188.99821    0.0083908152       2869.7728
3.000       193.01945    0.0085606884       3118.7617
3.000       197.04069    0.0089697458       3476.3073
3.000       201.06193    0.0087728702       3612.4472
3.000       205.08317    0.0087595103       3827.7198
3.000       209.10441    0.0080036806       3707.2303
3.000       213.12565    0.0080131618       3929.8983
3.000       217.14688    0.0084337371       4374.7287
3.000       221.16812    0.0072624539       3980.3498
