# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       386.03891   0.00016160401       470.99427
3.000       394.08138   0.00024538333       760.80449
3.000       402.12386   0.00019195204       632.32815
3.000       410.16634   0.00017613083       615.72344
3.000       418.20881   0.00014296949       529.77709
3.000       426.25129   0.00018693804       733.44079
3.000       434.29377   0.00024850713       1031.2404
3.000       442.33625   0.00016810184       737.05572
3.000       450.37872   0.00016104813       745.34879
3.000       458.42120   0.00012665432       618.13645
3.000       466.46368   0.00018564895       954.58864
3.000       474.50615   6.3883656e-05       345.76862
3.000       482.54863   0.00022230446       1265.4404
3.000       490.59111   0.00012559364       751.27151
3.000       498.63359   6.0504374e-05       380.01577
3.000       506.67606   0.00017179496       1132.0663
3.000       514.71854   0.00016667166       1151.4404
2.750     0.062831853       326.63216    0.0041045808
2.750      0.12566371       501.35378     0.050401579
2.750      0.18849556       189.02245     0.064133806
2.750      0.25132741       129.55367      0.10419324
2.750      0.31415927       81.846516      0.12856421
2.750      0.37699112       59.695325      0.16203317
2.750      0.43982297       43.467902      0.18735818
2.750      0.50265482       34.051661      0.21908777
2.750      0.56548668       25.901458      0.23728025
2.750      0.62831853       22.576557      0.28370539
2.750      0.69115038       19.294332      0.32271390
2.750      0.75398224       15.505637      0.33670008
2.750      0.81681409       13.902081      0.38381304
2.750      0.87964594       12.346566      0.42573579
2.750      0.94247780       10.740513      0.45552128
2.750       1.0053096       9.6643495      0.49744199
2.750       1.0681415       8.4719104      0.52304371
2.750       1.1309734       7.7247685      0.56612568
2.750       1.1938052       7.1218644      0.61385298
2.750       1.2566371       6.4443164      0.64785335
2.750       1.3194689       5.9596332      0.69356517
2.750       1.3823008       5.4539537      0.72977563
2.750       1.4451326       4.9685959      0.75967363
2.750       1.5079645       4.6588477      0.80932341
2.750       1.5707963       4.3465090      0.85343505
2.750       1.6336282       4.0196085      0.88779697
2.750       1.6964600       3.7932930      0.93824779
2.750       1.7592919       3.6313148       1.0017235
2.750       1.8221237       3.3043668       1.0127263
2.750       1.8849556       3.1962434       1.0844598
2.750       1.9477874       2.9989766       1.1227111
2.750       2.0106193       2.8635675       1.1791450
2.750       2.0734512       2.7059720       1.2220106
2.750       2.1362830       2.6010250       1.2846687
2.750       2.1991149       2.4161066       1.3017575
2.750       2.2619467       2.2992606       1.3480487
2.750       2.3247786       2.2975117       1.4624222
2.750       2.3876104       2.1712265       1.4971516
2.750       2.4504423       2.1289711       1.5869873
2.750       2.5132741       1.9991903       1.6078443
2.750       2.5761060       1.9225527       1.6650975
2.750       2.6389378       1.8456524       1.7183342
2.750       2.7017697       1.8102877       1.8086846
2.750       2.7646015       1.7664119       1.8908622
2.750       2.8274334       1.6830229       1.9272473
2.750       2.8902652       1.6198786       1.9813711
2.750       2.9530971       1.5516701       2.0244303
2.750       3.0159289       1.5064795       2.0936150
2.750       3.0787608       1.4588947       2.1568605
2.750       3.1415927       1.4202439       2.2309139
2.750       3.2044245       1.3699532       2.2836320
2.750       3.2672564       1.3615312       2.4057334
2.750       3.3300882       1.2873423       2.4084161
2.750       3.3929201       1.2584955       2.4902493
2.750       3.4557519       1.2247600       2.5606424
2.750       3.5185838       1.1937007       2.6343251
2.750       3.5814156       1.1538382       2.6852168
2.750       3.6442475       1.1327277       2.7772780
2.750       3.7070793       1.1130328       2.8725914
2.750       3.7699112       1.0623271       2.8835129
2.750       3.8327430       1.0596174       3.0223758
2.750       3.8955749       1.0200540       3.0549781
2.750       3.9584067      0.99893725       3.1388439
2.750       4.0212386      0.98707604       3.2516246
2.750       4.1469023      0.94744927       3.4229270
2.750       4.2725660      0.88371962       3.4918140
2.750       4.3982297      0.86092907       3.7108326
2.750       4.5238934      0.83946909       3.9374229
2.750       4.6495571      0.78880310       4.0167392
2.750       4.7752208      0.76670539       4.2294039
2.750       4.9008845      0.72917205       4.3483419
2.750       5.0265482      0.70715508       4.5498229
2.750       5.1522120      0.67345490       4.6661633
2.750       5.2778757      0.65850140       4.9046094
2.750       5.4035394      0.63022587       5.0373420
2.750       5.5292031      0.61795872       5.2919696
2.750       5.6548668      0.59101584       5.4142277
2.750       5.7805305      0.57926853       5.6683059
2.750       5.9061942      0.55087113       5.7496769
2.750       6.0318579      0.54019063       6.0057965
2.750       6.1575216      0.52079274       6.1596071
2.750       6.2831853      0.49739432       6.2504414
2.750       6.4088490      0.49066672       6.5433022
2.750       6.5345127      0.47258154       6.6801565
2.750       6.6601764      0.45843481       6.8612785
2.750       6.7858401      0.44244834       7.0039607
2.750       6.9115038      0.42937956       7.1817335
2.750       7.0371675      0.42028211       7.4200159
