# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       110.58406    0.0061214019       419.37135
3.000       112.59468    0.0051557739       372.83592
3.000       114.60530    0.0049665712       378.73987
3.000       116.61592    0.0051316436       412.28760
3.000       118.62654    0.0049843959       421.52988
3.000       120.63716    0.0037662029       334.97875
3.000       122.64778    0.0043342815       405.10390
3.000       124.65840    0.0044470622       436.42344
3.000       126.66902    0.0045347502       466.91177
3.000       128.67964    0.0038560740       416.24121
3.000       132.70087    0.0032120493       380.25401
3.000       136.72211    0.0035703089       462.26641
3.000       140.74335    0.0042084120       594.39092
3.000       144.76459    0.0025911113       398.23861
3.000       148.78583    0.0037335698       622.98735
3.000       152.80707    0.0015776855       285.18127
3.000       156.82831    0.0024164935       472.20354
3.000       160.84954    0.0024429020       515.03388
3.000       164.87078    0.0014799249       336.00137
3.000       168.89202    0.0022909974       559.14219
3.000       172.91326    0.0022124305       579.46178
3.000       176.93450    0.0017494382       490.91513
3.000       180.95574    0.0021790407       654.11283
3.000       184.97698    0.0019094458       612.25256
3.000       188.99821    0.0014609659       499.67020
3.000       193.01945    0.0011255511       410.05179
3.000       197.04069    0.0021959238       851.05043
3.000       201.06193    0.0013812483       568.76328
3.000       205.08317    0.0018288750       799.17950
3.000       209.10441    0.0017294020       801.04288
3.000       213.12565   0.00092431428       453.31184
3.000       217.14688    0.0019662961       1019.9526
3.000       221.16812    0.0018279384       1001.8424
3.000       225.18936    0.0015299612       885.10396
3.000       229.21060    0.0012097555       738.02652
3.000       233.23184    0.0015259054       980.75691
3.000       237.25308    0.0011482270       776.84357
3.000       241.27432    0.0015467029       1100.5517
3.000       245.29555    0.0013205614       987.41081
3.000       249.31679    0.0012797334       1004.7184
3.000       253.33803   0.00071392699       588.06486
3.000       257.35927   0.00078436725       677.34380
3.000       265.40175   0.00076207025       721.73306
3.000       273.44422   0.00090128306       933.55032
3.000       281.48670   0.00029176860       329.67230
3.000       289.52918   0.00069159903       850.35770
3.000       297.57166    0.0018261179       2437.6635
3.000       305.61413    0.0013317615       1925.8259
3.000       313.65661    0.0014868701       2324.3772
3.000       321.69909    0.0014098680       2377.9252
3.000       329.74156  -3.2830975e-06      -5.9631416
3.000       337.78404    0.0012292384       2400.0693
3.000       345.82652   0.00042847474       897.78091
3.000       353.86900   0.00070133159       1574.4222
3.000       361.91147   0.00090091410       2163.5189
3.000       369.95395    0.0011361905       2914.5024
3.000       377.99643    0.0013561803       3710.6567
3.000       386.03891   0.00075973104       2214.2332
3.000       394.08138   0.00032204621       998.49570
3.000       402.12386   0.00062341845       2053.6642
3.000       410.16634   0.00093481940       3267.9697
3.000       418.20881   0.00055418757       2053.5562
3.000       426.25129   0.00048924498       1919.5249
3.000       434.29377   0.00088328587       3665.4081
3.000       442.33625   0.00042027728       1842.7387
3.000       450.37872   0.00050727795       2347.7391
3.000       458.42120   0.00029432494       1436.4530
3.000       466.46368   0.00031083036       1598.2591
3.000       474.50615   0.00034801108       1883.6008
3.000       482.54863  -6.2337616e-05      -354.84911
3.000       490.59111   0.00020767564       1242.2667
3.000       498.63359   0.00059593366       3742.9391
3.000       506.67606   0.00097211808       6405.9042
3.000       514.71854    0.0010902991       7532.2610
2.750     0.015707963       1059.2036   0.00020797414
2.750     0.031415927       2715.4010    0.0042653419
2.750     0.047123890       1444.9348    0.0076602319
2.750     0.062831853       1154.4051     0.014506682
2.750     0.078539816       875.46607     0.021487170
2.750     0.094247780       716.43222     0.030384966
2.750      0.10995574       585.84586     0.039455484
2.750      0.12566371       503.41309     0.050608604
2.750      0.14137167       366.36859     0.052441566
2.750      0.15707963       331.57722     0.065105036
2.750      0.17278760       287.17556     0.075050817
2.750      0.18849556       254.57012     0.086373607
2.750      0.20420352       225.59064     0.097315278
2.750      0.21991149       204.54949      0.11020782
2.750      0.23561945       177.72887      0.11777731
2.750      0.25132741       162.18707      0.13043858
2.750      0.26703538       140.33319      0.13537455
2.750      0.28274334       127.50762      0.14601032
2.750      0.29845130       114.14704      0.15372884
2.750      0.31415927       102.78085      0.16144777
2.750      0.32986723       94.433329      0.17171691
2.750      0.34557519       85.450135      0.17865315
2.750      0.36128316       80.862845      0.19318011
2.750      0.37699112       73.149950      0.19855355
2.750      0.39269908       68.369585      0.20975526
2.750      0.40840704       64.978804      0.22424442
2.750      0.42411501       60.115753      0.23233224
2.750      0.43982297       56.650355      0.24417805
2.750      0.45553093       52.652911      0.25214262
2.750      0.47123890       49.838461      0.26421549
2.750      0.48694686       45.813673      0.26798475
2.750      0.50265482       43.977730      0.28295191
2.750      0.51836279       41.314345      0.29152284
2.750      0.53407075       39.394933      0.30402340
2.750      0.54977871       37.541462      0.31604229
2.750      0.56548668       36.072561      0.33045655
2.750      0.58119464       33.801964      0.33618396
2.750      0.59690260       32.075276      0.34558198
2.750      0.61261057       30.644275      0.35692179
2.750      0.62831853       29.203507      0.36698210
2.750      0.64402649       27.864527      0.37707968
2.750      0.65973446       26.323772      0.38293572
2.750      0.67544242       25.778689      0.40243532
2.750      0.69115038       24.708184      0.41326512
2.750      0.70685835       24.089939      0.43102566
2.750      0.72256631       22.483112      0.42969451
2.750      0.73827427       22.093805      0.45039544
2.750      0.75398224       21.176179      0.45983412
2.750      0.76969020       20.662074      0.47730066
2.750      0.78539816       19.751190      0.48476714
2.750      0.80110613       19.056963      0.49635695
2.750      0.81681409       18.433711      0.50892372
2.750      0.83252205       17.751114      0.51889933
2.750      0.84823002       17.202683      0.53187228
2.750      0.86393798       16.655579      0.54409869
2.750      0.87964594       16.068422      0.55407326
2.750      0.89535391       15.609604      0.56760516
2.750      0.91106187       15.301301      0.58619516
2.750      0.92676983       14.660740      0.59121008
2.750      0.94247780       14.173383      0.60111444
2.750      0.95818576       13.786720      0.61444124
2.750      0.97389372       13.583126      0.63563045
2.750      0.98960169       13.169918      0.64659839
2.750       1.0053096       12.772237      0.65741073
2.750       1.0367256       12.358938      0.69765842
2.750       1.0681415       11.366108      0.70172738
2.750       1.0995574       11.030158      0.74285791
2.750       1.1309734       10.252725      0.75139219
2.750       1.1623893       9.8465571      0.78344669
2.750       1.1938052       9.5533589      0.82343014
2.750       1.2252211       9.1720214      0.85463123
2.750       1.2566371       8.8075153      0.88542801
2.750       1.2880530       8.3696196      0.90610217
2.750       1.3194689       8.0182405      0.93314005
2.750       1.3508848       7.8468637      0.97998934
2.750       1.3823008       7.5099193       1.0048776
2.750       1.4137167       7.3501235       1.0520880
2.750       1.4451326       6.9238211       1.0586179
2.750       1.4765485       6.6750629       1.0886012
2.750       1.5079645       6.5813926       1.1433031
2.750       1.5393804       6.3017732       1.1645842
2.750       1.5707963       6.1586555       1.2092492
2.750       1.6022123       5.8749550       1.2241509
2.750       1.6336282       5.6768694       1.2538305
2.750       1.6650441       5.5159578       1.2899368
2.750       1.6964600       5.4288801       1.3428002
2.750       1.7278760       5.3132014       1.3885586
2.750       1.7592919       5.0649569       1.3972036
2.750       1.7907078       5.0319082       1.4637845
2.750       1.8221237       4.8568854       1.4885441
2.750       1.8535397       4.7395073       1.5290057
2.750       1.8849556       4.5982634       1.5601540
2.750       1.9163715       4.4882858       1.6002575
2.750       1.9477874       4.3908863       1.6437930
2.750       1.9792034       4.2468425       1.6680447
2.750       2.0106193       4.1737711       1.7186539
2.750       2.0734512       3.9096735       1.7655994
2.750       2.1362830       3.8477576       1.9004407
2.750       2.1991149       3.6481908       1.9655837
2.750       2.2619467       3.4775659       2.0388850
2.750       2.3247786       3.4178402       2.1755386
2.750       2.3876104       3.1983596       2.2054029
2.750       2.4504423       3.0691991       2.2878563
2.750       2.5132741       3.0041837       2.4161079
2.750       2.5761060       2.8978470       2.5097872
2.750       2.6389378       2.7712008       2.5800358
2.750       2.7017697       2.6810553       2.6786810
2.750       2.7646015       2.6379457       2.8237988
2.750       2.8274334       2.5271783       2.8938985
2.750       2.8902652       2.4754536       3.0278765
2.750       2.9530971       2.3598367       3.0788277
2.750       3.0159289       2.3329171       3.2421484
2.750       3.0787608       2.2270003       3.2924438
2.750       3.1415927       2.2045735       3.4629360
2.750       3.2044245       2.1405263       3.5681324
2.750       3.2672564       2.0744036       3.6653306
2.750       3.3300882       1.9926808       3.7279940
2.750       3.3929201       1.9421226       3.8429769
2.750       3.4557519       1.8851093       3.9412544
2.750       3.5185838       1.8668685       4.1199094
2.750       3.5814156       1.8087448       4.2093180
2.750       3.6442475       1.7691875       4.3377820
2.750       3.7070793       1.7208436       4.4412713
2.750       3.7699112       1.7026948       4.6216859
2.750       3.8327430       1.6482465       4.7013387
2.750       3.8955749       1.6049916       4.8068183
2.750       3.9584067       1.5659245       4.9204219
2.750       4.0212386       1.5398928       5.0727127
2.750       4.1469023       1.4757295       5.3314878
2.750       4.2725660       1.4301833       5.6510390
2.750       4.3982297       1.3472081       5.8068240
2.750       4.5238934       1.3186963       6.1851773
2.750       4.6495571       1.2490693       6.3605044
2.750       4.7752208       1.2148501       6.7015201
2.750       4.9008845       1.1812279       7.0441301
2.750       5.0265482       1.1264660       7.2476620
2.750       5.1522120       1.0868442       7.5304117
2.750       5.2778757       1.0382661       7.7331490
2.750       5.4035394       1.0097314       8.0706978
2.750       5.5292031      0.97899752       8.3837722
2.750       5.6548668      0.95142067       8.7158546
2.750       5.7805305      0.92806915       9.0814183
2.750       5.9061942      0.88825839       9.2711315
2.750       6.0318579      0.86917633       9.6634333
2.750       6.1575216      0.83959802       9.9302343
2.750       6.2831853      0.80646026       10.134278
2.750       6.4088490      0.78110146       10.416404
2.750       6.5345127      0.76498263       10.813380
2.750       6.6601764      0.73890386       11.058988
2.750       6.7858401      0.72653471       11.501050
2.750       6.9115038      0.70547395       11.799644
2.750       7.0371675      0.69969462       12.353001
2.750       7.1628313      0.67506607       12.568131
2.750       7.2884950      0.65550517       12.857601
2.750       7.4141587      0.62481809       12.900587
2.750       7.5398224      0.61689558       13.395695
2.750       7.6654861      0.59873792       13.662373
2.750       7.7911498      0.58953787       14.124940
2.750       7.9168135      0.58626091       14.737114
2.750       8.0424772      0.55461905       14.616203
2.750       8.2938046      0.54623058       15.787293
2.750       8.5451320      0.50814122       16.062421
2.750       8.7964594      0.48954694       16.880617
2.750       9.0477868      0.46967865       17.623743
2.750       9.2991143      0.44972467       18.320685
2.750       9.5504417      0.43568730       19.227177
2.750       9.8017691      0.42051198       20.061437
2.750       10.053096      0.40467038       20.829135
2.750       10.304424      0.39140014       21.695136
2.750       10.555751      0.37198266       22.164626
2.750       10.807079      0.36292223       23.206454
2.750       11.058406      0.34916653       23.921063
2.750       11.309734      0.34490050       25.276748
2.750       11.561061      0.32951884       25.795479
2.750       11.812388      0.31803846       26.556024
2.750       12.063716      0.31309848       27.848032
2.750       12.315043      0.30497935       28.856822
2.750       12.566371      0.28926950       29.080542
2.750       12.817698      0.28331942       30.225724
2.750       13.069025      0.27178774       30.734754
2.750       13.320353      0.27195322       32.562044
2.750       13.571680      0.25968910       32.887043
2.750       13.823008      0.25153240       33.656723
2.750       14.074335      0.24177036       34.147348
2.750       14.325663      0.23503737       35.006712
2.750       14.576990      0.23141021       36.312516
2.750       14.828317      0.22648189       37.409280
2.750       15.079645      0.21797406       37.865910
2.750       15.330972      0.21607501       39.444267
2.750       15.582300      0.20574039       39.435238
2.750       15.833627      0.20278363       40.779733
2.750       16.084954      0.19795595       41.734797
2.750       16.587609      0.18631653       43.079736
2.750       17.090264      0.17882920       45.222545
2.750       17.592919      0.17038414       47.001651
2.750       18.095574      0.16048637       48.175417
2.750       18.598229      0.15495276       50.499178
2.750       19.100883      0.14806799       52.274728
2.750       19.603538      0.13993980       53.409053
2.750       20.106193      0.13605915       56.025733
2.750       20.608848      0.13106054       58.117022
2.750       21.111503      0.12875749       61.376227
2.750       21.614157      0.12428090       63.575472
2.750       22.116812      0.11672539       63.973953
2.750       22.619467      0.11187570       65.592340
2.750       23.122122      0.10585576       66.293021
2.750       23.624777      0.10523159       70.294209
2.750       24.127432      0.10083633       71.749780
2.750       24.630086     0.096540197       73.076249
2.750       25.132741     0.093046628       74.832538
2.750       25.635396     0.092572538       79.008265
2.750       26.138051     0.088954757       80.474638
2.750       26.640706     0.086525919       82.880746
2.750       27.143361     0.082069237       83.146027
2.750       27.646015     0.079668910       85.281881
2.750       28.148670     0.077477556       87.542676
2.750       28.651325     0.074129187       88.327031
2.750       29.153980     0.073059996       91.715650
2.750       29.656635     0.072093950       95.265287
2.750       30.159289     0.069046809       95.957117
2.750       30.661944     0.065025675       94.962950
2.750       31.164599     0.064200560       98.445010
2.750       31.667254     0.064213868       103.30713
2.750       32.169909     0.060942613       102.78762
2.750       33.175218     0.056844317       105.14744
2.750       34.180528     0.054581604       110.42130
2.750       35.185838     0.052882594       116.70426
2.750       36.191147     0.051576713       123.85997
2.750       37.196457     0.047576416       124.04141
2.750       38.201767     0.047410848       133.90547
2.750       39.207076     0.044233431       135.05612
2.750       40.212386     0.041506685       136.73127
2.750       41.217696     0.038391736       136.19436
2.750       42.223005     0.037470913       142.89333
2.750       43.228315     0.036701254       150.19521
2.750       44.233625     0.034004888       149.09710
2.750       45.238934     0.033977661       159.36789
2.750       46.244244     0.031555754       158.09636
