# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       46.244244     0.024953515       125.01872
3.000       47.249554     0.024837214       132.72913
3.000       48.254863     0.024297405       138.30995
3.000       49.260173     0.023505482       142.34008
3.000       50.265482     0.023002115       147.99519
3.000       51.270792     0.022887489       156.27104
3.000       52.276102     0.021277907       153.99575
3.000       53.281411     0.020466884       156.83723
3.000       54.286721     0.020035974       162.39085
3.000       55.292031     0.018896369       161.82151
3.000       56.297340     0.018920679       171.02934
3.000       57.302650     0.017469625       166.52444
3.000       58.307960     0.018341905       184.20365
3.000       59.313269     0.017526744       185.27938
3.000       60.318579     0.017001224       189.01825
3.000       61.323889     0.016652212       194.55001
3.000       62.329198     0.016134537       197.92533
3.000       63.334508     0.015260136       196.40379
3.000       64.339818     0.015334848       206.91368
3.000       66.350437     0.014693542       217.43433
3.000       68.361056     0.014128571       228.66242
3.000       70.371675     0.014508588       256.14688
3.000       72.382295     0.013649828       262.23731
3.000       74.392914     0.011976208       249.79533
3.000       76.403533     0.011589600       261.86595
3.000       78.414153     0.011450529       279.69144
3.000       80.424772     0.011015247       290.29130
3.000       82.435391     0.010464508       296.98203
3.000       84.446011    0.0099375940       303.17188
3.000       86.456630    0.0093733134       306.87274
3.000       88.467249    0.0095734627       335.80478
3.000       90.477868    0.0086602366       324.95790
3.000       92.488488    0.0075664170       303.26589
3.000       94.499107    0.0083596115       357.38759
3.000       96.509726    0.0077825594       354.40999
3.000       98.520346    0.0069260409       335.53134
3.000       100.53096    0.0065693115       338.13464
3.000       102.54158    0.0061762934       337.36362
3.000       104.55220    0.0068139054       394.51719
3.000       106.56282    0.0060127986       368.60741
3.000       108.57344    0.0060687102       393.49342
3.000       110.58406    0.0055144117       377.78704
3.000       112.59468    0.0055863216       403.97065
3.000       114.60530    0.0052621711       401.28168
3.000       116.61592    0.0053347955       428.60926
3.000       118.62654    0.0047761442       403.91805
3.000       120.63716    0.0050224285       446.71168
3.000       122.64778    0.0047991214       448.55018
3.000       124.65840    0.0044180861       433.57980
3.000       126.66902    0.0040980685       421.94968
3.000       128.67964    0.0049599779       535.40135
3.000       132.70087    0.0035581340       421.22478
3.000       136.72211    0.0033721271       436.60678
3.000       140.74335    0.0040116775       566.60438
3.000       144.76459    0.0026535451       407.83431
3.000       148.78583    0.0023739778       396.12441
3.000       152.80707    0.0030640315       553.85210
3.000       156.82831    0.0020907343       408.54740
3.000       160.84954    0.0033125811       698.38720
3.000       164.87078    0.0030264416       687.12168
3.000       168.89202    0.0031305343       764.04006
3.000       172.91326    0.0027048104       708.42190
3.000       176.93450    0.0023114659       648.62743
3.000       180.95574    0.0019799403       594.34612
3.000       184.97698    0.0027865449       893.48923
3.000       188.99821    0.0018859576       645.02312
3.000       193.01945    0.0022319607       813.13011
3.000       197.04069    0.0022927754       888.58615
3.000       201.06193    0.0017942023       738.80735
3.000       205.08317    0.0017842643       779.68558
3.000       209.10441    0.0014103376       653.25522
3.000       213.12565    0.0018071425       886.27765
3.000       217.14688    0.0014452787       749.69165
3.000       221.16812    0.0020044360       1098.5759
3.000       225.18936    0.0011385232       658.65159
3.000       229.21060    0.0010985908       670.20911
3.000       233.23184    0.0017696613       1137.4280
3.000       237.25308    0.0014367552       972.05001
3.000       241.27432    0.0012027608       855.82074
3.000       245.29555    0.0016749822       1252.4185
3.000       249.31679    0.0014508573       1139.0677
3.000       253.33803    0.0016764152       1380.8708
3.000       257.35927    0.0016515815       1426.2305
3.000       265.40175    0.0015124149       1432.3612
3.000       273.44422    0.0011094818       1149.2029
3.000       281.48670   0.00055330557       625.18558
3.000       289.52918   0.00094166596       1157.8283
3.000       297.57166    0.0010687438       1426.6537
3.000       305.61413    0.0014323526       2071.2880
3.000       313.65661    0.0013166016       2058.2020
3.000       321.69909   0.00072687190       1225.9637
3.000       329.74156    0.0010397272       1888.4728
3.000       337.78404   0.00093890452       1833.1967
3.000       345.82652    0.0014067933       2947.6467
3.000       353.86900    0.0014905036       3346.0378
3.000       361.91147   0.00095750922       2299.4305
3.000       369.95395   0.00062601402       1605.8217
3.000       377.99643   0.00060063648       1643.4067
3.000       386.03891   0.00095888906       2794.6785
3.000       394.08138   0.00072247556       2240.0163
3.000       402.12386    0.0012127412       3995.0103
3.000       410.16634    0.0010059667       3516.6885
3.000       418.20881   0.00089921714       3332.0720
3.000       426.25129   0.00058711812       2303.5247
3.000       434.29377   0.00044646121       1852.6986
3.000       442.33625   0.00085640610       3754.9797
3.000       450.37872   0.00066486279       3077.0594
3.000       458.42120   0.00051768567       2526.5651
3.000       466.46368   0.00065905832       3388.8130
3.000       474.50615    0.0011691432       6327.9569
3.000       482.54863   0.00010514321       598.51459
3.000       490.59111   0.00076877506       4598.6310
3.000       498.63359   0.00017830453       1119.8948
3.000       506.67606   0.00077610155       5114.2267
3.000       514.71854   0.00061058528       4218.1889
2.750     0.015707963       1274.8739   0.00025032090
2.750     0.031415927       3085.8195    0.0048471939
2.750     0.047123890       1591.2456    0.0084358892
2.750     0.062831853       1245.7863     0.015655012
2.750     0.078539816       925.42431     0.022713330
2.750     0.094247780       747.24154     0.031691635
2.750      0.10995574       603.46819     0.040642311
2.750      0.12566371       513.44144     0.051616763
2.750      0.14137167       371.85103     0.053226316
2.750      0.15707963       334.13919     0.065608076
2.750      0.17278760       287.81815     0.075218752
2.750      0.18849556       253.89384     0.086144152
2.750      0.20420352       223.86815     0.096572227
2.750      0.21991149       202.54775      0.10912931
2.750      0.23561945       175.25945      0.11614088
2.750      0.25132741       159.64602      0.12839494
2.750      0.26703538       137.74272      0.13287562
2.750      0.28274334       125.03142      0.14317479
2.750      0.29845130       111.61983      0.15032530
2.750      0.31415927       100.29043      0.15753584
2.750      0.32986723       91.946598      0.16719506
2.750      0.34557519       83.017539      0.17356725
2.750      0.36128316       78.519151      0.18758106
2.750      0.37699112       70.858085      0.19233265
2.750      0.39269908       66.123102      0.20286314
2.750      0.40840704       62.727845      0.21647627
2.750      0.42411501       57.970747      0.22404233
2.750      0.43982297       54.500133      0.23491002
2.750      0.45553093       50.753227      0.24304548
2.750      0.47123890       47.935412      0.25412660
2.750      0.48694686       44.003961      0.25739894
2.750      0.50265482       42.179322      0.27138099
2.750      0.51836279       39.609362      0.27949211
2.750      0.53407075       37.695268      0.29090654
2.750      0.54977871       35.922528      0.30241332
2.750      0.56548668       34.435717      0.31546161
2.750      0.58119464       32.312723      0.32137243
2.750      0.59690260       30.585699      0.32953314
2.750      0.61261057       29.171310      0.33976578
2.750      0.62831853       27.818438      0.34957680
2.750      0.64402649       26.521631      0.35890680
2.750      0.65973446       25.006896      0.36377894
2.750      0.67544242       24.477874      0.38212808
2.750      0.69115038       23.427463      0.39184398
2.750      0.70685835       22.816837      0.40824687
2.750      0.72256631       21.311258      0.40729818
2.750      0.73827427       20.916368      0.42639268
2.750      0.75398224       20.047160      0.43531784
2.750      0.76969020       19.509247      0.45066999
2.750      0.78539816       18.662115      0.45803721
2.750      0.80110613       17.967097      0.46797035
2.750      0.81681409       17.393570      0.48020717
2.750      0.83252205       16.710871      0.48849103
2.750      0.84823002       16.178522      0.50020728
2.750      0.86393798       15.679117      0.51219998
2.750      0.87964594       15.133084      0.52182084
2.750      0.89535391       14.656906      0.53296265
2.750      0.91106187       14.365784      0.55035538
2.750      0.92676983       13.768434      0.55522688
2.750      0.94247780       13.292702      0.56376344
2.750      0.95818576       12.900912      0.57496290
2.750      0.97389372       12.726184      0.59552935
2.750      0.98960169       12.316480      0.60469746
2.750       1.0053096       11.955827      0.61538857
2.750       1.0367256       11.552394      0.65212925
2.750       1.0681415       10.592071      0.65393942
2.750       1.0995574       10.269098      0.69160213
2.750       1.1309734       9.5271322      0.69821564
2.750       1.1623893       9.1523602      0.72821254
2.750       1.1938052       8.8529858      0.76306307
2.750       1.2252211       8.4907322      0.79115001
2.750       1.2566371       8.1711386      0.82145245
2.750       1.2880530       7.7316997      0.83704041
2.750       1.3194689       7.4175016      0.86322776
2.750       1.3508848       7.2230461      0.90208120
2.750       1.3823008       6.9332107      0.92771015
2.750       1.4137167       6.7818625      0.97074776
2.750       1.4451326       6.3824828      0.97584990
2.750       1.4765485       6.1405790       1.0014350
2.750       1.5079645       6.0233761       1.0463659
2.750       1.5393804       5.7787737       1.0679325
2.750       1.5707963       5.6341117       1.1062553
2.750       1.6022123       5.3963936       1.1244341
2.750       1.6336282       5.1864005       1.1455023
2.750       1.6650441       5.0434267       1.1794328
2.750       1.6964600       4.9483619       1.2239470
2.750       1.7278760       4.8420677       1.2654320
2.750       1.7592919       4.6080009       1.2711492
2.750       1.7907078       4.5763424       1.3312602
2.750       1.8221237       4.4204412       1.3547822
2.750       1.8535397       4.3082820       1.3898887
2.750       1.8849556       4.1893372       1.4214086
2.750       1.9163715       4.0799613       1.4546732
2.750       1.9477874       3.9712829       1.4867083
2.750       1.9792034       3.8429399       1.5094027
2.750       2.0106193       3.7857242       1.5588660
2.750       2.0734512       3.5546428       1.6052684
2.750       2.1362830       3.4549718       1.7064404
2.750       2.1991149       3.2995464       1.7777400
2.750       2.2619467       3.1333038       1.8370453
2.750       2.3247786       3.0527714       1.9431634
2.750       2.3876104       2.8668738       1.9768296
2.750       2.4504423       2.7453991       2.0464879
2.750       2.5132741       2.6766810       2.1527146
2.750       2.5761060       2.5907872       2.2438467
2.750       2.6389378       2.4634951       2.2935564
2.750       2.7017697       2.3839865       2.3818754
2.750       2.7646015       2.3386488       2.5034153
2.750       2.8274334       2.2406161       2.5657530
2.750       2.8902652       2.1998665       2.6907893
2.750       2.9530971       2.0928423       2.7304859
2.750       3.0159289       2.0612722       2.8646325
2.750       3.0787608       1.9647970       2.9047971
2.750       3.1415927       1.9505347       3.0638927
2.750       3.2044245       1.8912556       3.1526127
2.750       3.2672564       1.8257848       3.2260381
2.750       3.3300882       1.7589904       3.2907959
2.750       3.3929201       1.7097058       3.3830820
2.750       3.4557519       1.6615217       3.4737931
2.750       3.5185838       1.6386715       3.6163116
2.750       3.5814156       1.5897389       3.6996466
2.750       3.6442475       1.5521203       3.8055657
2.750       3.7070793       1.5065550       3.8882206
2.750       3.7699112       1.4841874       4.0285832
2.750       3.8327430       1.4352335       4.0937559
2.750       3.8955749       1.4023208       4.1998358
2.750       3.9584067       1.3630235       4.2828696
2.750       4.0212386       1.3483561       4.4417530
2.750       4.1469023       1.2803492       4.6256216
2.750       4.2725660       1.2475964       4.9295889
2.750       4.3982297       1.1645080       5.0193382
2.750       4.5238934       1.1499659       5.3937689
2.750       4.6495571       1.0868950       5.5346815
2.750       4.7752208       1.0466455       5.7736471
2.750       4.9008845       1.0149468       6.0525298
2.750       5.0265482      0.97893528       6.2984517
2.750       5.1522120      0.93214443       6.4585441
2.750       5.2778757      0.89568573       6.6711910
2.750       5.4035394      0.87088287       6.9608931
2.750       5.5292031      0.83014786       7.1090789
2.750       5.6548668      0.81230684       7.4414489
2.750       5.7805305      0.79580341       7.7871608
2.750       5.9061942      0.76314671       7.9652876
2.750       6.0318579      0.74483107       8.2809726
2.750       6.1575216      0.71012204       8.3988743
2.750       6.2831853      0.68611676       8.6219975
2.750       6.4088490      0.66590068       8.8801405
2.750       6.5345127      0.64914583       9.1759736
2.750       6.6601764      0.63716272       9.5362542
2.750       6.7858401      0.61348760       9.7115135
