# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       249.31679    0.0012453800       977.74754
3.000       253.33803   0.00094055640       774.74054
3.000       257.35927   0.00074569667       643.94965
3.000       265.40175   0.00082538175       781.69342
3.000       273.44422   0.00099839337       1034.1373
3.000       281.48670   0.00059964745       677.54773
3.000       289.52918   0.00055325553       680.25703
3.000       297.57166    0.0018186652       2427.7150
3.000       305.61413    0.0011990891       1733.9717
3.000       313.65661    0.0015885497       2483.3299
3.000       321.69909    0.0015642756       2638.3537
3.000       329.74156   0.00012734112       231.29169
3.000       337.78404    0.0010662485       2081.8339
3.000       345.82652   0.00030874381       646.90931
3.000       353.86900   0.00054137932       1215.3447
3.000       361.91147    0.0010045038       2412.2866
3.000       369.95395    0.0010213013       2619.7942
3.000       377.99643    0.0011917257       3260.6910
3.000       386.03891    0.0010095509       2942.3322
3.000       394.08138   0.00049021673       1519.9040
3.000       402.12386   0.00029857491       983.56506
3.000       410.16634   0.00075341795       2633.8210
3.000       418.20881   0.00060549856       2243.6903
3.000       426.25129   0.00039948360       1567.3512
3.000       434.29377   0.00063339702       2628.4340
3.000       442.33625   0.00039044191       1711.9232
3.000       450.37872   0.00054283131       2512.2841
3.000       458.42120   0.00046506542       2269.7519
3.000       466.46368   0.00025159859       1293.6952
3.000       474.50615   0.00030586058       1655.4624
3.000       482.54863   0.00013708016       780.31174
3.000       490.59111   2.9967496e-05       179.25849
3.000       498.63359   0.00060595851       3805.9031
3.000       506.67606   0.00082734231       5451.8846
3.000       514.71854    0.0012348091       8530.5988
2.750     0.015707963       1059.3060   0.00020799424
2.750     0.031415927       2715.5193    0.0042655278
2.750     0.047123890       1444.8181    0.0076596130
2.750     0.062831853       1154.4482     0.014507224
2.750     0.078539816       875.64262     0.021491503
2.750     0.094247780       716.47816     0.030386914
2.750      0.10995574       585.94502     0.039462162
2.750      0.12566371       503.58595     0.050625982
2.750      0.14137167       366.49996     0.052460370
2.750      0.15707963       331.65009     0.065119343
2.750      0.17278760       287.29752     0.075082690
2.750      0.18849556       254.66851     0.086406990
2.750      0.20420352       225.71392     0.097368458
2.750      0.21991149       204.65549      0.11026493
2.750      0.23561945       177.82444      0.11784064
2.750      0.25132741       162.29492      0.13052532
2.750      0.26703538       140.44021      0.13547780
2.750      0.28274334       127.63350      0.14615447
2.750      0.29845130       114.27246      0.15389775
2.750      0.31415927       102.88003      0.16160358
2.750      0.32986723       94.543986      0.17191813
2.750      0.34557519       85.564593      0.17889245
2.750      0.36128316       80.978353      0.19345606
2.750      0.37699112       73.273211      0.19888812
2.750      0.39269908       68.498278      0.21015008
2.750      0.40840704       65.102678      0.22467191
2.750      0.42411501       60.237893      0.23280428
2.750      0.43982297       56.779911      0.24473647
2.750      0.45553093       52.777429      0.25273891
2.750      0.47123890       49.976105      0.26494520
2.750      0.48694686       45.949072      0.26877676
2.750      0.50265482       44.114134      0.28382954
2.750      0.51836279       41.451258      0.29248892
2.750      0.53407075       39.530006      0.30506580
2.750      0.54977871       37.679630      0.31720546
2.750      0.56548668       36.210155      0.33171703
2.750      0.58119464       33.946678      0.33762325
2.750      0.59690260       32.214947      0.34708681
2.750      0.61261057       30.783753      0.35854633
2.750      0.62831853       29.349197      0.36881289
2.750      0.64402649       28.006374      0.37899924
2.750      0.65973446       26.467386      0.38502490
2.750      0.67544242       25.929010      0.40478200
2.750      0.69115038       24.857209      0.41575769
2.750      0.70685835       24.242962      0.43376361
2.750      0.72256631       22.629201      0.43248655
2.750      0.73827427       22.244683      0.45347117
2.750      0.75398224       21.328891      0.46315023
2.750      0.76969020       20.811795      0.48075927
2.750      0.78539816       19.903284      0.48850008
2.750      0.80110613       19.212230      0.50040104
2.750      0.81681409       18.591024      0.51326688
2.750      0.83252205       17.904844      0.52339315
2.750      0.84823002       17.356572      0.53663023
2.750      0.86393798       16.812402      0.54922173
2.750      0.87964594       16.221044      0.55933600
2.750      0.89535391       15.765802      0.57328492
2.750      0.91106187       15.458657      0.59222350
2.750      0.92676983       14.816545      0.59749305
2.750      0.94247780       14.330550      0.60778014
2.750      0.95818576       13.943371      0.62142281
2.750      0.97389372       13.739956      0.64296938
2.750      0.98960169       13.328569      0.65438760
2.750       1.0053096       12.929540      0.66550740
2.750       1.0367256       12.520470      0.70677685
2.750       1.0681415       11.521697      0.71133318
2.750       1.0995574       11.193603      0.75386555
2.750       1.1309734       10.408857      0.76283466
2.750       1.1623893       10.002085      0.79582134
2.750       1.1938052       9.7143620      0.83730744
2.750       1.2252211       9.3335235      0.86967968
2.750       1.2566371       8.9606655      0.90082435
2.750       1.2880530       8.5285956      0.92331304
2.750       1.3194689       8.1700740      0.95080999
2.750       1.3508848       8.0062802      0.99989875
2.750       1.3823008       7.6670241       1.0258993
2.750       1.4137167       7.5121953       1.0752867
2.750       1.4451326       7.0801401       1.0825182
2.750       1.4765485       6.8271163       1.1133988
2.750       1.5079645       6.7371830       1.1703666
2.750       1.5393804       6.4577121       1.1934021
2.750       1.5707963       6.3165317       1.2402481
2.750       1.6022123       6.0280614       1.2560533
2.750       1.6336282       5.8272759       1.2870502
2.750       1.6650441       5.6680768       1.3255106
2.750       1.6964600       5.5812550       1.3804892
2.750       1.7278760       5.4681094       1.4290425
2.750       1.7592919       5.2144001       1.4384286
2.750       1.7907078       5.1851679       1.5083679
2.750       1.8221237       5.0058600       1.5342020
2.750       1.8535397       4.8903230       1.5776602
2.750       1.8849556       4.7485507       1.6111453
2.750       1.9163715       4.6374763       1.6534501
