# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750      0.64402649       29.476607      0.39889533
2.750      0.65973446       28.525222      0.41496053
2.750      0.67544242       27.399703      0.42774123
2.750      0.69115038       26.439684      0.44222590
2.750      0.70685835       25.218884      0.45122514
2.750      0.72256631       23.808547      0.45502607
2.750      0.73827427       23.204294      0.47303341
2.750      0.75398224       22.836350      0.49588422
2.750      0.76969020       21.616323      0.49934413
2.750      0.78539816       20.691847      0.50785433
2.750      0.80110613       20.108874      0.52375499
2.750      0.81681409       19.490537      0.53810091
2.750      0.83252205       18.722975      0.54730871
2.750      0.84823002       18.045467      0.55792945
2.750      0.86393798       17.702203      0.57828947
2.750      0.87964594       17.444976      0.60153976
2.750      0.89535391       16.551862      0.60186808
2.750      0.91106187       15.996723      0.61283688
2.750      0.92676983       15.853755      0.63931966
2.750      0.94247780       15.047917      0.63820474
2.750      0.95818576       14.834781      0.66115079
2.750      0.97389372       14.442543      0.67584736
2.750      0.98960169       13.931779      0.68400317
2.750       1.0053096       13.586199      0.69930685
2.750       1.0367256       12.948751      0.73095322
2.750       1.0681415       12.353197      0.76266880
2.750       1.0995574       11.690283      0.78731595
2.750       1.1309734       11.263517      0.82547021
2.750       1.1623893       10.785014      0.85811552
2.750       1.1938052       10.326661      0.89008319
2.750       1.2252211       10.034041      0.93495258
2.750       1.2566371       9.5147376      0.95652575
2.750       1.2880530       9.0931444      0.98443158
2.750       1.3194689       8.7751426       1.0212262
2.750       1.3508848       8.4954814       1.0609948
2.750       1.3823008       8.1497160       1.0904867
2.750       1.4137167       7.9811747       1.1424159
2.750       1.4451326       7.5786961       1.1587450
2.750       1.4765485       7.3540006       1.1993256
2.750       1.5079645       7.0863137       1.2310168
2.750       1.5393804       6.8074776       1.2580397
2.750       1.5707963       6.6983357       1.3152151
2.750       1.6022123       6.5406045       1.3628507
2.750       1.6336282       6.2929727       1.3899071
2.750       1.6650441       6.1039334       1.4274381
2.750       1.6964600       5.9505138       1.4718231
2.750       1.7278760       5.8024663       1.5164237
2.750       1.7592919       5.6173542       1.5495863
2.750       1.7907078       5.4993189       1.5997545
2.750       1.8221237       5.3710882       1.6461376
2.750       1.8535397       5.2699853       1.7001425
2.750       1.8849556       5.1516583       1.7479165
