# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       3.2044245       2.2626231       3.7716607
2.750       3.2672564       2.1971793       3.8822669
2.750       3.3300882       2.1093211       3.9462098
2.750       3.3929201       2.0560061       4.0683241
2.750       3.4557519       1.9973411       4.1759008
2.750       3.5185838       1.9802805       4.3701935
2.750       3.5814156       1.9186162       4.4650110
2.750       3.6442475       1.8808270       4.6115052
2.750       3.7070793       1.8291528       4.7208031
2.750       3.7699112       1.8119980       4.9183714
2.750       3.8327430       1.7519286       4.9970739
2.750       3.8955749       1.7057116       5.1084662
2.750       3.9584067       1.6663814       5.2360757
2.750       4.0212386       1.6357114       5.3883582
2.750       4.1469023       1.5699424       5.6718586
2.750       4.2725660       1.5219769       6.0137404
2.750       4.3982297       1.4346717       6.1838154
2.750       4.5238934       1.4015425       6.5737566
2.750       4.6495571       1.3313115       6.7792975
2.750       4.7752208       1.2945297       7.1410597
2.750       4.9008845       1.2560477       7.4903103
2.750       5.0265482       1.1961417       7.6959542
2.750       5.1522120       1.1543150       7.9978961
2.750       5.2778757       1.1006030       8.1974432
2.750       5.4035394       1.0717887       8.5667164
2.750       5.5292031       1.0364934       8.8761457
2.750       5.6548668       1.0068843       9.2239500
2.750       5.7805305      0.98079034       9.5973101
2.750       5.9061942      0.93551208       9.7643384
2.750       6.0318579      0.91455154       10.167911
2.750       6.1575216      0.88214355       10.433436
2.750       6.2831853      0.84671939       10.640190
2.750       6.4088490      0.81722595       10.898144
2.750       6.5345127      0.80139825       11.328131
2.750       6.6601764      0.77048010       11.531582
2.750       6.7858401      0.75844093       12.006126
2.750       6.9115038      0.73351728       12.268692
2.750       7.0371675      0.72739948       12.842126
2.750       7.1628313      0.70017486       13.035597
2.750       7.2884950      0.67732264       13.285547
2.750       7.4141587      0.64249488       13.265559
2.750       7.5398224      0.63359100       13.758231
2.750       7.6654861      0.61595948       14.055345
2.750       7.7911498      0.60295612       14.446433
2.750       7.9168135      0.59709359       15.009420
2.750       8.0424772      0.56479733       14.884437
2.750       8.2938046      0.55418276       16.017129
2.750       8.5451320      0.51131117       16.162624
2.750       8.7964594      0.48758035       16.812805
2.750       9.0477868      0.46729741       17.534392
2.750       9.2991143      0.44371144       18.075721
2.750       9.5504417      0.42601594       18.800374
2.750       9.8017691      0.40724948       19.428721
2.750       10.053096      0.39077551       20.113940
2.750       10.304424      0.37433069       20.748985
2.750       10.555751      0.35371032       21.075866
2.750       10.807079      0.34093927       21.800790
2.750       11.058406      0.33058480       22.648046
2.750       11.309734      0.31994131       23.447562
2.750       11.561061      0.30301130       23.720408
2.750       11.812388      0.29030025       24.239900
2.750       12.063716      0.28360483       25.224768
2.750       12.315043      0.27520067       26.039196
2.750       12.566371      0.25897865       26.035374
2.750       12.817698      0.25001111       26.672251
2.750       13.069025      0.23759284       26.867869
2.750       13.320353      0.23687634       28.362148
2.750       13.571680      0.22339601       28.290884
2.750       13.823008      0.21437013       28.684163
2.750       14.074335      0.20391109       28.800152
2.750       14.325663      0.19787520       29.471739
2.750       14.576990      0.19260929       30.223937
2.750       14.828317      0.18461210       30.493413
2.750       15.079645      0.17824858       30.964899
2.750       15.330972      0.17541800       32.022373
2.750       15.582300      0.16469763       31.568377
2.750       15.833627      0.15811940       31.797768
2.750       16.084954      0.15669347       33.035482
2.750       16.587609      0.14162921       32.747223
2.750       17.090264      0.13577007       34.333700
2.750       17.592919      0.12835813       35.408484
2.750       18.095574      0.11890073       35.692081
2.750       18.598229      0.10971378       35.755775
2.750       19.100883      0.10494912       37.051808
